title,company,location,salary_min,salary_max,posting_date,description,category,contract_type
BI Analyst,Harnham - Data & Analytics Recruitment,"London, UK",45000,70000,2026-04-10T23:57:28Z,"BI ANALYST LONDON/HYBRID UP TO £70,000 This is a rare opportunity to join a high organisation at a pivotal stage of scale up. Sitting within a centralised Business Intelligence function, you will play a key role in shaping how data is used across the business, influencing decisions at pace and delivering insight that genuinely drives value. ROLES AND RESPONSIBILITIES:The BI Analyst will: Use SQL to explore data, build well structured datasets and deliver repeatable analysis Design, build and ma…",IT Jobs,permanent
BI Analyst,Harnham - Data & Analytics Recruitment,"London, UK",50000,55000,2026-04-08T23:44:39Z,"BI ANALYST REMOTE/ OCCASIONAL SHEFFIELD TEAM DAYS UP TO £55,000 This is a high impact Data Analyst role where you will help shape how a growing digital business uses data. You will play a central role in building core reporting foundations, defining meaningful commercial metrics, and enabling better decision making across the organisation during an exciting period of data transformation. ROLES AND RESPONSIBILITIES: The BI Analyst will: Build and maintain core analytics data models using SQL, in…",IT Jobs,permanent
BI Analyst,I3 Resourcing Limited,"London, UK",80000,80000,2026-03-17T22:40:48Z,"Business Intelligence / Data & Regulatory Returns Analyst City of London - HYBRID £80,000 MUST HAVE a minimum of 5 years' experience in a data or BI role within the Lloyd's or London Market insurance environment MUST HAVE demonstrable hands-on experience with regulatory returns (e.g. RRA, RRQ, Solvency II / SUK, PMD, QMB) MUST HAVE an understanding of reserving concepts and technical provisions within a syndicate or similar insurance context A hands-on role at the centre of regulatory reporting…",IT Jobs,
Senior BI Analyst,Synergy Resourcing Solutions Limited,"Farringdon, Central London",62201.57,62201.57,2026-02-10T00:49:23Z,"We’re recruiting for an established professional services business modernising their reporting and data platform. They’re hiring a Senior BI Analyst to deliver “decision-ready” reporting, improve data quality and metric consistency, and increase automation across their analytics workflows. What you’ll do: * Develop and maintain scalable data models and reporting outputs that support business needs * Lead data quality initiatives, ensuring accuracy and consistency * Reduce reporting issues and m…",IT Jobs,
Senior BI Analyst,Zopa,"London, UK",58456.49,58456.49,2026-03-11T10:11:39Z,"Our Story Hello there. We’re Zopa. We started our journey back in 2005, building the first ever peer-to-peer lending company. Fast forward to 2020 and we launched Zopa Bank. A bank that listens to what our customers don’t like about finance and does the opposite. We’re redefining what it feels like to work in finance. Our vision for a new era of banking puts people front and centre — we’ve built a business that empowers everyone to aim high, every day, to move finance forward. Find out more abo…",IT Jobs,
Power BI Analyst,Morgan Hunt Recruitment,"London, UK",50000,55000,2026-04-13T22:19:22Z,"Business Intelligence & Data Analyst This is a high-impact opportunity for a Business Intelligence & Data Analyst to shape how data drives decision-making across a complex, multi-stakeholder organisation. You'll take ownership of end-to-end analytics delivery-from scoping and data modelling through to building dashboards and presenting insights to senior leaders. This is a hands-on role where technical capability meets real business influence. Power BI sits at the heart of the analytics stack, …",IT Jobs,permanent
Sales Insights & BI Analyst,Safetykleen,"Brentford, West London",65000,70000,2026-04-16T02:46:45Z,"Drive Global Commercial Performance Through Sales Insight Sales Insights & BI Analyst £65,000 - £70,000 annual salary  bonus  benefits International role | Power BI | SQL | ERP reporting | Sales performance analytics About Safetykleen Imagine working for a company where your role genuinely matters for the planet and directly influences how a global business grows commercial performance. We are a global leader with over 50 years’ experience, helping businesses operate more safely, responsibly, a…",IT Jobs,permanent
Customer Insights & BI Analyst,Safetykleen,"Brentford, West London",65000,70000,2026-04-16T02:46:46Z,"Shape Customer Insight Across a Global Business Customer Insights & BI Analyst £65,000 - £70,000  bonus  benefits Global role | Power BI | SQL | D365 CE / Dataverse | Customer journey reporting About Safetykleen Imagine working for a company where your role genuinely matters for the planet and directly shapes the experience of customers across an international business. We are a global leader with over 50 years’ experience, helping businesses operate more safely, responsibly, and efficiently th…",IT Jobs,permanent
BI Reporting Analyst - Morgan McKinley,Morgan McKinley,"London, UK",46815.88,46815.88,2026-04-03T12:53:32Z,"BI Reporting Analyst (Contract) Immediate start | Hybird working - Victoria | £250-285pd inside IR35 | Contract until 31st July (likely extension) We're working with a global organisation to hire a BI Reporting Analyst to support their Customer Success function (international markets), with a strong focus on growth, retention and account expansion. This is a highly visible role where you'll play a key part in turning data into actionable insights, supporting decision-making across Customer Succ…",IT Jobs,contract
BI Reporting Analyst,Synapri,"Farringdon, Central London",65000,72800,2026-03-31T21:33:33Z,"BI Reporting Analyst - SQL - Tableau - Qliksense - statistical Analysis - Contract - London - Hybrid * Location: London, Victoria * Pay Rate: £280 per day Inside IR35 * Duration: 12 Months * Working situation: 3 days per week in the office My client who are leaders in their field are looking for a BI Reporting Analyst to join them on an initial 12 month contract. Key Responsibilities: 1. Dashboard Development: * Design and build interactive and Customer Success dashboards to report on retention…",IT Jobs,contract
BI Reporting Analyst,EF Recruitment,"Pimlico, South West London",60000,60000,2026-03-26T20:29:10Z,"Our client is a global SaaS type company who are now seeking a BI Reporting Analyst based at their impressive UK headquarters in central London. This is a 12 month contract, hybrid, with 3 days a week in their offices. You will be supporting their EMEA business working directly with their sales and marketing teams, Duties * Prepare sales reports and dashboards using Salesforce, MS Excel.(Tableau, or Qlikview is considered a plus.) * Audit data and reconcile when discrepancies are identified. Au…",IT Jobs,contract
BI Reporting Analyst,Morgan McKinley,"London, UK",65000,74100,2026-04-08T01:54:11Z,"BI Reporting Analyst (Contract) Immediate start | Hybird working - Victoria | £250-285pd inside IR35 | Contract until 31st July (likely extension) We're working with a global organisation to hire a BI Reporting Analyst to support their Customer Success function (international markets), with a strong focus on growth, retention and account expansion. This is a highly visible role where you'll play a key part in turning data into actionable insights, supporting decision-making across Customer Succ…",IT Jobs,contract
BI Reporting Analyst,Randstad Technologies Recruitment,"The City, Central London",52000,65000,2026-04-09T23:55:35Z,"Insight & Analytics Specialist 3 Months Contract - £200 to £270 a day inside IR35 London Based (3 days in the office) A leading UK Fintech brand is looking for a data-driven Insight & Analytics Specialist to join their Growth & Retention team. You will play a pivotal role in bridging the gap between raw data and commercial strategy, focusing on optimising the customer journey and enhancing long-term user value. The Role Visualisation: Design and scale high-impact dashboards (Tableau/Qlik) to tr…",IT Jobs,contract
Data Analyst / BI Engineer,Magentic,"London, UK",60000,70000,2026-04-04T11:13:07Z,"We're looking for a Data Analyst / BI Engineer to join Magentic's Forward Deployed Engineering team. You'll be embedded at a critical point — working directly with customers during pilots and onboarding, turning complex, messy data into the insights that make our AI procurement solution sing. This isn't a build-dashboards-on-request role. You'll be working on real problems with real stakes, using modern data tooling — including LLMs — to move fast without sacrificing rigour. You'll be joining a…",IT Jobs,
"Data Analyst (SQL, Power BI)",Harnham - Data & Analytics Recruitment,"London, UK",45000,50000,2026-04-14T22:25:16Z,"Data Analyst (SQL, Power BI) London (Hybrid) We're partnering with a leading real estate business to hire a Data Analyst into their Group Finance team. This role sits within FP&A and focuses on financial reporting, data visualisation, and delivering insight to senior stakeholders , while supporting ongoing reporting transformation. Key Responsibilities: Own and enhance monthly finance & KPI reporting (Power BI / Power Query) Build dashboards and improve data models and visualisations Manage and…",Accounting & Finance Jobs,permanent
"Data Business Analyst, Power BI Specialist - Global Asset Manager - Stephen Bell Associates",Stephen Bell Associates,"London, UK",63708.83,63708.83,2026-04-09T14:14:33Z,"Our client is a leading privately owned global asset manager with a range of successful active funds. They are seeking to hire a Data Business Analyst, Power BI Specialist. Key responsibilities include: Data analysis and requirements definition: partnering with stakeholders to understand needs, gather structured requirements and define KPIs, metrics and functional specifications. Define and document metrics and dictionaries to ensure consistency. PowerBI design and delivery: design, develop and…",IT Jobs,
Business Analyst - Process Improvement (Laboratory Operations / HealthTech),Additional Resources Ltd,"London, UK",104000,130000,2026-04-22T19:12:29Z,"An opportunity has arisen for a Business Analyst to join a well-established biotech company using large-scale genetic data and AI to predict disease risk and advance precision healthcare. As a Business Analyst , you will be mapping, analysing, and improving laboratory operational processes, supporting data quality and workflow efficiency initiatives. This is a 6-month contract-based role offering hybrid / remote working options, salary range of £400 - £500 per day and benefits. You will be resp…",IT Jobs,contract
Data / Business Analyst London Insurance £350/day Inside IR35,Adecco,"London, UK",91000,91000,2026-04-09T02:09:55Z,"Junior Data Analyst / BI Analyst / Business Analyst | Insurance | London Hybrid (3 days/week in the office) | £350/day (Inside IR35) | Initial 6 month contract Our Insurance client is looking for a Data Analyst / BI Analyst / Business Analyst with Power BI, Excel and SQL knowledge and good Stakeholder Management skills. You'd be working on a project looking at data from pre-processing techniques, to data cleansing, migration, building insightful Power BI dashboards. some ETL too - and translati…",IT Jobs,contract
Data / Business Analyst London Insurance £350/day Inside IR35,Adecco,"The City, Central London",91000,91000,2026-04-08T23:54:22Z,"Junior Data Analyst / BI Analyst / Business Analyst | Insurance | London Hybrid (3 days/week in the office) | £350/day (Inside IR35) | Initial 6 month contract Our Insurance client is looking for a Data Analyst / BI Analyst / Business Analyst with Power BI, Excel and SQL knowledge and good Stakeholder Management skills. You'd be working on a project looking at data from pre-processing techniques, to data cleansing, migration, building insightful Power BI dashboards. some ETL too - and translati…",IT Jobs,contract
Junior Data Engineer,Newto Training,"London, UK",25000,78000,2026-04-08T03:25:11Z,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…",IT Jobs,permanent
Trainee Data Analyst Associate,Newto Training,"London, UK",25000,78000,2026-04-08T03:27:36Z,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…",IT Jobs,permanent
Data Scientist,Block MB,"London, UK",59620.58,59620.58,2026-03-30T05:14:02Z,"Data Scientist – FinTech | London | £60–85k I’m working with a high‑growth FinTech in London that’s building out their data function to support smarter, data‑driven lending decisions. They’ve been scaling quickly and are now looking for someone to work closely with the C Suite to model and price loans in a more predictive, evidence‑based way. You’ll be joining a small but sharp team with a BI Analyst and a wider tech group (frontend, backend, and product). This is a rare chance to join a compan…",IT Jobs,
Data Scientist,Block MB,"The City, Central London",60208.65,60208.65,2026-03-30T05:15:11Z,"Data Scientist – FinTech | London | £60–85k I’m working with a high‑growth FinTech in London that’s building out their data function to support smarter, data‑driven lending decisions. They’ve been scaling quickly and are now looking for someone to work closely with the C Suite to model and price loans in a more predictive, evidence‑based way. You’ll be joining a small but sharp team with a BI Analyst and a wider tech group (frontend, backend, and product). This is a rare chance to join a compan…",IT Jobs,
Business Intelligence Analyst,Profectus Recruitment,"London, UK",50000,60000,2026-04-22T23:14:35Z,"Profectus Recruitment is proud to be supporting a leading financial services organisation who are recruiting for a Business Intelligence Analyst to join their growing data function. This role sits within a highly regulated environment where data and reporting are central to decision-making, offering the opportunity to work on high-impact dashboards, analytics, and business-critical reporting. The Role Design, build and maintain Power BI dashboards and reports Work with stakeholders across the b…",IT Jobs,permanent
Data Analyst Trainee,Newto Training,"London, UK",25000,78000,2026-04-08T03:23:42Z,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of £58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. With our Data Analytics career programme we will provide you with: 8 training modules: Excel, S…",IT Jobs,permanent
Analytics Engineer - Power BI Developer,Velocity Recruitment,"Arnos Grove, North London",42000,82000,2026-04-21T04:27:24Z,"Salary: £42,000 - 82,000 per year Requirements: Proven experience as an Analytics Engineer, Power BI Developer, or BI Analyst Strong Power BI capabilities (data modelling, Power Query, DAX) Experience in integrating and transforming data from multiple platforms Experience with construction data is a bonus, especially with Morta but not necessary Responsibilities: Create and manage Power BI dataflows to integrate datasets from multiple source systems Transform and model data to ensure consistenc…",IT Jobs,
Business Intelligence Analyst,AIG Insurance,"London, UK",62228.51,62228.51,2026-02-05T09:12:27Z,"Business Intelligence Analyst Join us as a BI Analyst to take your career to the next level with a global market leader. Make your mark at Talbot Talbot operates within the Lloyd's Insurance Market through Syndicate 1183 and Syndicate 2019. With an expert team of highly skilled and experienced underwriters and a balanced, geographically diverse portfolio of business, Talbot has earned a reputation as an industry leading insurance specialist. Part of AIG since 2018, Talbot is committed to workin…",IT Jobs,
Business Analyst - Process Improvement (Laboratory Operations / HealthTech),Additional Resources,"Westminster, South West London",104000,130000,2026-04-22T19:11:10Z,"An opportunity has arisen for a Business Analyst to join a well-established biotech company using large-scale genetic data and AI to predict disease risk and advance precision healthcare. As a Business Analyst, you will be mapping, analysing, and improving laboratory operational processes, supporting data quality and workflow efficiency initiatives. This is a 6-month contract-based role offering hybrid / remote working options, salary range of £400 - £500 per day and benefits. You will be respo…",IT Jobs,contract
Business Data Analyst,AIG,"Charing Cross, Central London",47965.09,47965.09,2025-09-26T20:54:19Z,"Join us as Business Data Analyst to take your career to the next level with a global market insurance leader. Make your mark in Data Analysis Looking for an energetic Business Data Analysis to identify business intelligence, reporting, and data analysis needs for AIG. This individual will work closely with Business and Technical teams to turn data into critical information and knowledge that can be leveraged to make sound business decisions. BI Analysts must understand how data is transformed i…",IT Jobs,
Business Intelligence Lead,GLAS,"Blackfriars, Central London",75138.19,75138.19,2026-04-01T11:10:07Z,"Business Intelligence Lead Location: London Salary: Competitive Work Type: Hybrid Working GLAS is an international provider of institutional debt administration services, serving lenders, borrowers, issuers, and advisers offering a global platform across Loan Agency and related services, Capital Markets and Restructuring. GLAS’ vision is to be recognised as the best-in-class independent, non-creditor, conflict-free provider of institutional debt administration services, enabling global clients …",IT Jobs,
Lead Data Modeller,"Halian | Managed Services, Recruitment Agency & Contract Staffing","London, UK",66588.87,66588.87,2026-04-16T06:59:48Z,"Lead Data Modeller Location: London (1/2 days per week) Salary £110-120K Own the rebuild of a modern data platform from the ground up. We’re working with a business in the middle of a high-impact data transformation—moving away from legacy constraints towards a scalable, cloud-first architecture We are seeking a Lead Data Modeller to define and manage the organisation’s data structure and ensure consistency across reporting, analytics, and AI use cases. This role is critical in establishing a s…",IT Jobs,
Lead Data Modeller,"Halian | Managed Services, Recruitment Agency & Contract Staffing","The City, Central London",67245.55,67245.55,2026-04-16T07:00:11Z,"Lead Data Modeller Location: London (1/2 days per week) Salary £110-120K Own the rebuild of a modern data platform from the ground up. We’re working with a business in the middle of a high-impact data transformation—moving away from legacy constraints towards a scalable, cloud-first architecture We are seeking a Lead Data Modeller to define and manage the organisation’s data structure and ensure consistency across reporting, analytics, and AI use cases. This role is critical in establishing a s…",IT Jobs,
Data Engineer,Colt Technology Services,"London, UK",57899.5,57899.5,2026-04-02T22:24:24Z,"Why we need this role The Data Engineer will be a key contributor to building, optimising, and maintaining Colt DCS’s modern data environment. Working within the Data Integrations & BI team, you will design and support data pipelines, integrations, Azure data structures, and Power BI‑ready datasets across our Microsoft-centric ecosystem. This role ensures the organisation has high‑quality, reliable, and well‑structured data for analytics, reporting, and operational decision‑making. You will be …",IT Jobs,
Analytics Engineer,Blink - The Employee App,"London, UK",68930.03,68930.03,2026-01-05T13:22:53Z," Location: London (Old Street office, 3 days/week).  Join a high-growth, mission-driven tech company that’s transforming the future of work.  Reports to: CISO.  £75-£95k  equity. About Blink We're not just closing the digital divide; we're reconnecting distributed organisations, enabling seamless communication, and re-engaging employees like never before. Blink, a mobile-first employee experience platform, puts everything employees need right in their hands. With teams in Boston, London, and Sy…",IT Jobs,
Junior Data Architect,Solirius Reply,"London, UK",47101.82,47101.82,2026-02-16T11:57:05Z,"About Us: Solirius Reply delivers technical consultancy and application delivery to our clients in order to solve real world problems and allow our clients to respond to an ever-changing technical landscape. We partner closely with our clients, embedding our consultants into their businesses in order to provide a bespoke service, allowing us to truly understand our clients’ needs. It is this close collaboration with our clients that has enabled us to grow rapidly in recent years and will drive …",IT Jobs,
Lead Data Modeller,Halian Technology Limited,"South East London, London",100000,100000,2026-04-14T17:53:20Z,"Lead Data Modeller Location: London (1/2 days per week) Salary £110-120K Own the rebuild of a modern data platform from the ground up. Were working with a business in the middle of a high-impact data transformationmoving away from legacy constraints towards a scalable, cloud-first architecture We are seeking a Lead Data Modeller to define and manage the organisations data structure and ensure consistency across reporting, analytics, and AI use cases. This role is critical in establishing a sing…",IT Jobs,
Data Architect,Colt Technology Services,"London, UK",57578.64,57578.64,2026-04-02T22:24:24Z,"Why we need this role The Data Architect is responsible for designing, governing, and evolving the organisation’s data ecosystem, ensuring that data from business applications is integrated, structured, and made available for analytics, reporting, and strategic decision‑making. This role provides technical leadership across data integration, data warehousing, and BI platforms, ensuring data is accurate, secure, and optimised for performance. Working closely with business stakeholders, solution …",IT Jobs,
Head of Business Intelligence,Blockchain.com,"London, UK",76648.88,76648.88,2026-02-12T17:19:32Z,"Blockchain is connecting the world to the future of finance. As the most trusted and fastest-growing global crypto company, it helps millions of people worldwide safely access cryptocurrency. Since its inception in 2011, Blockchain has earned the trust of over 90 million wallet holders and more than 40 million verified users, facilitating over $1 trillion in crypto transactions. We are looking for a Head of Business Intelligence to lead our BI function and help scale reporting and decision-maki…",IT Jobs,
Business Intelligence Analyst - Transact,Transact,"London, UK",43037.88,43037.88,2026-04-22T18:17:03Z,"Job Description We are currently recruiting for a Business Intelligence Analyst to join our BI team. This role will provide business intelligence to support reporting and decision making. You will be responsible for considering how best to communicate information drawn from data to both internal and external stakeholders. Responsibilities include: Architect, design and develop end to end Power BI business intelligence solutions. Gather requirements for new reports. Analyse data to identify tren…",IT Jobs,
Operations Reporting Service Analyst,Teksystems,"Richmond, West London",66971.62,66971.62,2026-03-31T21:37:52Z,"Operations Reporting Service Analyst (Contract) Client: RX  Location: Richmond (Hybrid – 2 days onsite, Wednesday anchor day)  Department: IT Operations  Contract: Initial contract through to end of year (with strong potential for extension) Important – Please Read Before Applying This role requires hands‑on BAU support capability within enterprise reporting platforms. Applicants without recent involvement supporting Oracle reporting technologies and Power BI in a live production environment wi…",IT Jobs,contract
Digital Consultant,AECOM,"London, UK",44758.64,44758.64,2026-03-13T21:52:26Z,"Company Description Work with Us. Change the World. At AECOM, we're delivering a better world. Whether improving your commute, keeping the lights on, providing access to clean water, or transforming skylines, our work helps people and communities thrive. We are the world's trusted infrastructure consulting firm, partnering with clients to solve the world's most complex challenges and build legacies for future generations. There has never been a better time to be at AECOM. With accelerating infr…",Consultancy Jobs,
Analytics Engineer,Perk,"London, UK",65564.57,65564.57,2026-04-01T11:22:00Z,"About Us Perk (formerly TravelPerk) is the intelligent platform for travel and spend management. Built to tackle the time-consuming, manual work that gets in the way of real work, our tools automate everything from travel bookings to expenses, invoice processing, and more. By eliminating this shadow work that wastes hours, erodes morale, and saps innovation, we’re on a mission to power real work, with real impact. We’re trusted by more than 10,000 companies worldwide, including Wise, On Running…",IT Jobs,
Senior Power BI Developer,EXL,"London, UK",68258.53,68258.53,2025-12-05T15:39:12Z,"Description EXL (NASDAQ: EXLS) is a global data and AI company that offers services and solutions to reinvent client business models, drive better outcomes and unlock growth with speed. Bringing together domain expertise with robust data, powerful analytics, cloud and AI to create agile, scalable solutions and execute complex operations for the world’s leading corporations. EXL was founded on the core values of innovation, collaboration, excellence, integrity and respect, creating value from da…",IT Jobs,contract
Senior Power BI Developer,EXL Service,"The City, Central London",68321.51,68321.51,2026-03-19T22:34:35Z,"EXL (NASDAQ: EXLS) is a global data and AI company that offers services and solutions to reinvent client business models, drive better outcomes and unlock growth with speed. Bringing together domain expertise with robust data, powerful analytics, cloud and AI to create agile, scalable solutions and execute complex operations for the worlds leading corporations. EXL was founded on the core values of innovation, collaboration, excellence, integrity and respect, creating value from data to ensure …",IT Jobs,contract
